Cylinder Analysis in LS-Dyna,Resultant Force
X-displacement,A1,
    9.0909492493e+01,    2.6663803101e+01,
    9.1408988953e+01,    2.5309602737e+01,
    9.1908477783e+01,    2.3872301102e+01,
    9.2407974243e+01,    2.4452175140e+01,
    9.2907463074e+01,    2.5511474609e+01,
    9.3406990051e+01,    2.5955320358e+01,
    9.3906524658e+01,    2.6250833511e+01,
    9.4406013489e+01,    2.6359592438e+01,
    9.4905502319e+01,    2.6423238754e+01,
    9.5405006409e+01,    2.6007444382e+01,
    9.5904518127e+01,    2.5479379654e+01,
    9.6404022217e+01,    2.4733745575e+01,
    9.6903511047e+01,    2.3933538437e+01,
    9.7403015137e+01,    2.5004302979e+01,
    9.7902511597e+01,    2.6542564392e+01,
    9.8402015686e+01,    2.5556081772e+01,
    9.8901519775e+01,    2.3922166824e+01,
    9.9401062012e+01,    2.3642045975e+01,
    9.9900611877e+01,    2.3704324722e+01,
    1.0039998627e+02,    2.4052236557e+01,
    1.0089932251e+02,    2.4472919464e+01,
    1.0139888763e+02,    2.4921195984e+01,
    1.0189850616e+02,    2.5376499176e+01,
    1.0239822388e+02,    2.4614423752e+01,
    1.0289797211e+02,    2.3534570694e+01,
    1.0339746857e+02,    2.3053634644e+01,
    1.0389689636e+02,    2.2729015350e+01,
    1.0439609528e+02,    2.2744291306e+01,
    1.0489522552e+02,    2.2850437164e+01,
    1.0539501190e+02,    2.3359844208e+01,
    1.0589496613e+02,    2.3982282639e+01,
    1.0639425659e+02,    2.2441205978e+01,
    1.0689336395e+02,    2.0300857544e+01,
    1.0739288330e+02,    2.1020112991e+01,
    1.0789250946e+02,    2.2531358719e+01,
    1.0839200592e+02,    2.4212629318e+01,
    1.0889146423e+02,    2.5942659378e+01,
    1.0939121246e+02,    2.5391376495e+01,
    1.0989103699e+02,    2.4170711517e+01,
    1.1039041901e+02,    2.4189750671e+01,
    1.1088969421e+02,    2.4572465897e+01,
    1.1138919067e+02,    2.4465959549e+01,
    1.1188874817e+02,    2.4220821381e+01,
    1.1238810730e+02,    2.4703863144e+01,
    1.1288739777e+02,    2.5395614624e+01,
    1.1338719177e+02,    2.5338699341e+01,
    1.1388712311e+02,    2.5052108765e+01,
